Train Type,Car No.,Car Type,Car Direction,Door No.,Case,Case Offset (mm),Stop Error (mm),Front Ref Position (mm),Base Door Start (mm),Base Door End (mm),Door Width (mm),Actual Door Start (mm),Actual Door End (mm),Door Center (mm),Unit ID,Unit Start (mm),Unit End (mm),Unit Center (mm),Overlap Width (mm),Move Distance (mm),Direction,Effective Opening Width (mm),Min Required Width (mm),Valid?,Command,Confidence,Source / Note
GTX-A,3,T,정방향,3,1,0,-35,-35,5560,5690,130,5525,5655,5590,40,5460,5600,5530,97.75,97.75,LEFT,175.5,175.5,OK,UNIT_40:LEFT:97.8mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 3호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
GTX-A,3,T,정방향,3,1,0,-35,-35,5560,5690,130,5525,5655,5590,41,5600,5740,5670,77.75,77.75,RIGHT,175.5,175.5,OK,UNIT_41:RIGHT:77.8mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 3호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
GTX-A,4,M,정방향,1,1,0,-35,-35,6260,6390,130,6225,6355,6290,45,6160,6300,6230,97.75,97.75,LEFT,175.5,175.5,OK,UNIT_45:LEFT:97.8mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 4호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
GTX-A,4,M,정방향,1,1,0,-35,-35,6260,6390,130,6225,6355,6290,46,6300,6440,6370,77.75,77.75,RIGHT,175.5,175.5,OK,UNIT_46:RIGHT:77.8mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 4호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
GTX-A,4,M,정방향,2,1,0,-35,-35,6910,7040,130,6875,7005,6940,50,6860,7000,6930,125,125,LEFT,175.5,175.5,OK,UNIT_50:LEFT:125.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 4호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,4,M,정방향,2,1,0,-35,-35,6910,7040,130,6875,7005,6940,51,7000,7140,7070,50.5,50.5,RIGHT,175.5,175.5,OK,UNIT_51:RIGHT:50.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 4호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,4,M,정방향,3,1,0,-35,-35,7560,7690,130,7525,7655,7590,54,7420,7560,7490,80.5,80.5,LEFT,175.5,175.5,OK,UNIT_54:LEFT:80.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 4호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,4,M,정방향,3,1,0,-35,-35,7560,7690,130,7525,7655,7590,55,7560,7700,7630,95,95,RIGHT,175.5,175.5,OK,UNIT_55:RIGHT:95.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 4호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,5,M,정방향,1,1,0,-35,-35,8260,8390,130,8225,8355,8290,59,8120,8260,8190,80.5,80.5,LEFT,175.5,175.5,OK,UNIT_59:LEFT:80.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 5호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,5,M,정방향,1,1,0,-35,-35,8260,8390,130,8225,8355,8290,60,8260,8400,8330,95,95,RIGHT,175.5,175.5,OK,UNIT_60:RIGHT:95.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 5호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,5,M,정방향,2,1,0,-35,-35,8910,9040,130,8875,9005,8940,64,8820,8960,8890,85,85,LEFT,175.5,175.5,OK,UNIT_64:LEFT:85.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 5호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,5,M,정방향,2,1,0,-35,-35,8910,9040,130,8875,9005,8940,65,8960,9100,9030,90.5,90.5,RIGHT,175.5,175.5,OK,UNIT_65:RIGHT:90.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 5호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,5,M,정방향,3,1,0,-35,-35,9560,9690,130,9525,9655,9590,68,9380,9520,9450,40.5,40.5,LEFT,175.5,175.5,OK,UNIT_68:LEFT:40.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 5호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,5,M,정방향,3,1,0,-35,-35,9560,9690,130,9525,9655,9590,69,9520,9660,9590,135,135,RIGHT,175.5,175.5,OK,UNIT_69:RIGHT:135.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 5호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,6,T,정방향,1,1,0,-35,-35,10260,10390,130,10225,10355,10290,73,10080,10220,10150,40.5,40.5,LEFT,175.5,175.5,OK,UNIT_73:LEFT:40.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 6호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
