Train Type,Car No.,Car Type,Car Direction,Door No.,Case,Case Offset (mm),Stop Error (mm),Front Ref Position (mm),Base Door Start (mm),Base Door End (mm),Door Width (mm),Actual Door Start (mm),Actual Door End (mm),Door Center (mm),Unit ID,Unit Start (mm),Unit End (mm),Unit Center (mm),Overlap Width (mm),Move Distance (mm),Direction,Effective Opening Width (mm),Min Required Width (mm),Valid?,Command,Confidence,Source / Note
GTX-A,1,Tc,정방향,1,3,35,-30,5,260,390,130,265,395,330,2,140,280,210,60.5,60.5,LEFT,175.5,175.5,OK,UNIT_2:LEFT:60.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 1호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,1,Tc,정방향,1,3,35,-30,5,260,390,130,265,395,330,3,280,420,350,115,115,RIGHT,175.5,175.5,OK,UNIT_3:RIGHT:115.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 1호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,1,Tc,정방향,2,3,35,-30,5,910,1040,130,915,1045,980,7,840,980,910,87.75,87.75,LEFT,175.5,175.5,OK,UNIT_7:LEFT:87.8mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 1호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
GTX-A,1,Tc,정방향,2,3,35,-30,5,910,1040,130,915,1045,980,8,980,1120,1050,87.75,87.75,RIGHT,175.5,175.5,OK,UNIT_8:RIGHT:87.8mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 1호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
GTX-A,1,Tc,정방향,3,3,35,-30,5,1560,1690,130,1565,1695,1630,12,1540,1680,1610,115,115,LEFT,175.5,175.5,OK,UNIT_12:LEFT:115.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 1호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,1,Tc,정방향,3,3,35,-30,5,1560,1690,130,1565,1695,1630,13,1680,1820,1750,60.5,60.5,RIGHT,175.5,175.5,OK,UNIT_13:RIGHT:60.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 1호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,2,M,정방향,1,3,35,-30,5,2260,2390,130,2265,2395,2330,17,2240,2380,2310,115,115,LEFT,175.5,175.5,OK,UNIT_17:LEFT:115.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 2호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,2,M,정방향,1,3,35,-30,5,2260,2390,130,2265,2395,2330,18,2380,2520,2450,60.5,60.5,RIGHT,175.5,175.5,OK,UNIT_18:RIGHT:60.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 2호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,2,M,정방향,2,3,35,-30,5,2910,3040,130,2915,3045,2980,21,2800,2940,2870,70.5,70.5,LEFT,175.5,175.5,OK,UNIT_21:LEFT:70.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 2호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,2,M,정방향,2,3,35,-30,5,2910,3040,130,2915,3045,2980,22,2940,3080,3010,105,105,RIGHT,175.5,175.5,OK,UNIT_22:RIGHT:105.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 2호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,2,M,정방향,3,3,35,-30,5,3560,3690,130,3565,3695,3630,26,3500,3640,3570,97.75,97.75,LEFT,175.5,175.5,OK,UNIT_26:LEFT:97.8mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 2호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
GTX-A,2,M,정방향,3,3,35,-30,5,3560,3690,130,3565,3695,3630,27,3640,3780,3710,77.75,77.75,RIGHT,175.5,175.5,OK,UNIT_27:RIGHT:77.8mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 2호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
GTX-A,3,T,정방향,1,3,35,-30,5,4260,4390,130,4265,4395,4330,31,4200,4340,4270,97.75,97.75,LEFT,175.5,175.5,OK,UNIT_31:LEFT:97.8mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 3호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
GTX-A,3,T,정방향,1,3,35,-30,5,4260,4390,130,4265,4395,4330,32,4340,4480,4410,77.75,77.75,RIGHT,175.5,175.5,OK,UNIT_32:RIGHT:77.8mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 3호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
GTX-A,3,T,정방향,2,3,35,-30,5,4910,5040,130,4915,5045,4980,36,4900,5040,4970,125,125,LEFT,175.5,175.5,OK,UNIT_36:LEFT:125.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 3호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,3,T,정방향,2,3,35,-30,5,4910,5040,130,4915,5045,4980,37,5040,5180,5110,50.5,50.5,RIGHT,175.5,175.5,OK,UNIT_37:RIGHT:50.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 3호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,3,T,정방향,3,3,35,-30,5,5560,5690,130,5565,5695,5630,40,5460,5600,5530,80.5,80.5,LEFT,175.5,175.5,OK,UNIT_40:LEFT:80.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 3호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,3,T,정방향,3,3,35,-30,5,5560,5690,130,5565,5695,5630,41,5600,5740,5670,95,95,RIGHT,175.5,175.5,OK,UNIT_41:RIGHT:95.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 3호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,4,M,정방향,1,3,35,-30,5,6260,6390,130,6265,6395,6330,45,6160,6300,6230,80.5,80.5,LEFT,175.5,175.5,OK,UNIT_45:LEFT:80.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 4호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,4,M,정방향,1,3,35,-30,5,6260,6390,130,6265,6395,6330,46,6300,6440,6370,95,95,RIGHT,175.5,175.5,OK,UNIT_46:RIGHT:95.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 4호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,4,M,정방향,2,3,35,-30,5,6910,7040,130,6915,7045,6980,50,6860,7000,6930,85,85,LEFT,175.5,175.5,OK,UNIT_50:LEFT:85.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 4호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,4,M,정방향,2,3,35,-30,5,6910,7040,130,6915,7045,6980,51,7000,7140,7070,90.5,90.5,RIGHT,175.5,175.5,OK,UNIT_51:RIGHT:90.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 4호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,4,M,정방향,3,3,35,-30,5,7560,7690,130,7565,7695,7630,54,7420,7560,7490,40.5,40.5,LEFT,175.5,175.5,OK,UNIT_54:LEFT:40.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 4호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,4,M,정방향,3,3,35,-30,5,7560,7690,130,7565,7695,7630,55,7560,7700,7630,135,135,RIGHT,175.5,175.5,OK,UNIT_55:RIGHT:135.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 4호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,5,M,정방향,1,3,35,-30,5,8260,8390,130,8265,8395,8330,59,8120,8260,8190,40.5,40.5,LEFT,175.5,175.5,OK,UNIT_59:LEFT:40.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 5호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,5,M,정방향,1,3,35,-30,5,8260,8390,130,8265,8395,8330,60,8260,8400,8330,135,135,RIGHT,175.5,175.5,OK,UNIT_60:RIGHT:135.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 5호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,5,M,정방향,2,3,35,-30,5,8910,9040,130,8915,9045,8980,64,8820,8960,8890,90.5,90.5,LEFT,175.5,175.5,OK,UNIT_64:LEFT:90.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 5호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,5,M,정방향,2,3,35,-30,5,8910,9040,130,8915,9045,8980,65,8960,9100,9030,85,85,RIGHT,175.5,175.5,OK,UNIT_65:RIGHT:85.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 5호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,5,M,정방향,3,3,35,-30,5,9560,9690,130,9565,9695,9630,69,9520,9660,9590,95,95,LEFT,175.5,175.5,OK,UNIT_69:LEFT:95.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 5호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,5,M,정방향,3,3,35,-30,5,9560,9690,130,9565,9695,9630,70,9660,9800,9730,80.5,80.5,RIGHT,175.5,175.5,OK,UNIT_70:RIGHT:80.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 5호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,6,T,정방향,1,3,35,-30,5,10260,10390,130,10265,10395,10330,74,10220,10360,10290,95,95,LEFT,175.5,175.5,OK,UNIT_74:LEFT:95.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 6호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,6,T,정방향,1,3,35,-30,5,10260,10390,130,10265,10395,10330,75,10360,10500,10430,80.5,80.5,RIGHT,175.5,175.5,OK,UNIT_75:RIGHT:80.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 6호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,6,T,정방향,2,3,35,-30,5,10910,11040,130,10915,11045,10980,78,10780,10920,10850,50.5,50.5,LEFT,175.5,175.5,OK,UNIT_78:LEFT:50.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 6호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,6,T,정방향,2,3,35,-30,5,10910,11040,130,10915,11045,10980,79,10920,11060,10990,125,125,RIGHT,175.5,175.5,OK,UNIT_79:RIGHT:125.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 6호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,6,T,정방향,3,3,35,-30,5,11560,11690,130,11565,11695,11630,83,11480,11620,11550,77.75,77.75,LEFT,175.5,175.5,OK,UNIT_83:LEFT:77.8mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 6호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
GTX-A,6,T,정방향,3,3,35,-30,5,11560,11690,130,11565,11695,11630,84,11620,11760,11690,97.75,97.75,RIGHT,175.5,175.5,OK,UNIT_84:RIGHT:97.8mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 6호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
GTX-A,7,M,정방향,1,3,35,-30,5,12260,12390,130,12265,12395,12330,88,12180,12320,12250,77.75,77.75,LEFT,175.5,175.5,OK,UNIT_88:LEFT:77.8mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 7호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
GTX-A,7,M,정방향,1,3,35,-30,5,12260,12390,130,12265,12395,12330,89,12320,12460,12390,97.75,97.75,RIGHT,175.5,175.5,OK,UNIT_89:RIGHT:97.8mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 7호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
GTX-A,7,M,정방향,2,3,35,-30,5,12910,13040,130,12915,13045,12980,93,12880,13020,12950,105,105,LEFT,175.5,175.5,OK,UNIT_93:LEFT:105.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 7호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,7,M,정방향,2,3,35,-30,5,12910,13040,130,12915,13045,12980,94,13020,13160,13090,70.5,70.5,RIGHT,175.5,175.5,OK,UNIT_94:RIGHT:70.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 7호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,7,M,정방향,3,3,35,-30,5,13560,13690,130,13565,13695,13630,97,13440,13580,13510,60.5,60.5,LEFT,175.5,175.5,OK,UNIT_97:LEFT:60.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 7호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,7,M,정방향,3,3,35,-30,5,13560,13690,130,13565,13695,13630,98,13580,13720,13650,115,115,RIGHT,175.5,175.5,OK,UNIT_98:RIGHT:115.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 7호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,8,Tc,역방향,1,3,35,-30,5,15560,15690,130,15565,15695,15630,112,15540,15680,15610,115,115,LEFT,175.5,175.5,OK,UNIT_112:LEFT:115.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 8호차 역방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,8,Tc,역방향,1,3,35,-30,5,15560,15690,130,15565,15695,15630,113,15680,15820,15750,60.5,60.5,RIGHT,175.5,175.5,OK,UNIT_113:RIGHT:60.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 8호차 역방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,8,Tc,역방향,2,3,35,-30,5,14910,15040,130,14915,15045,14980,107,14840,14980,14910,87.75,87.75,LEFT,175.5,175.5,OK,UNIT_107:LEFT:87.8mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 8호차 역방향 / Global opening=BOTH / factor=135% / scale=1:10"
GTX-A,8,Tc,역방향,2,3,35,-30,5,14910,15040,130,14915,15045,14980,108,14980,15120,15050,87.75,87.75,RIGHT,175.5,175.5,OK,UNIT_108:RIGHT:87.8mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 8호차 역방향 / Global opening=BOTH / factor=135% / scale=1:10"
GTX-A,8,Tc,역방향,3,3,35,-30,5,14260,14390,130,14265,14395,14330,102,14140,14280,14210,60.5,60.5,LEFT,175.5,175.5,OK,UNIT_102:LEFT:60.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 8호차 역방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,8,Tc,역방향,3,3,35,-30,5,14260,14390,130,14265,14395,14330,103,14280,14420,14350,115,115,RIGHT,175.5,175.5,OK,UNIT_103:RIGHT:115.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 8호차 역방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,1,Tc,정방향,1,3,35,-25,10,260,390,130,270,400,335,2,140,280,210,55.5,55.5,LEFT,175.5,175.5,OK,UNIT_2:LEFT:55.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 1호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,1,Tc,정방향,1,3,35,-25,10,260,390,130,270,400,335,3,280,420,350,120,120,RIGHT,175.5,175.5,OK,UNIT_3:RIGHT:120.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 1호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,1,Tc,정방향,2,3,35,-25,10,910,1040,130,920,1050,985,7,840,980,910,82.75,82.75,LEFT,175.5,175.5,OK,UNIT_7:LEFT:82.8mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 1호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
GTX-A,1,Tc,정방향,2,3,35,-25,10,910,1040,130,920,1050,985,8,980,1120,1050,92.75,92.75,RIGHT,175.5,175.5,OK,UNIT_8:RIGHT:92.8mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 1호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
GTX-A,1,Tc,정방향,3,3,35,-25,10,1560,1690,130,1570,1700,1635,12,1540,1680,1610,110,110,LEFT,175.5,175.5,OK,UNIT_12:LEFT:110.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 1호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,1,Tc,정방향,3,3,35,-25,10,1560,1690,130,1570,1700,1635,13,1680,1820,1750,65.5,65.5,RIGHT,175.5,175.5,OK,UNIT_13:RIGHT:65.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 1호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,2,M,정방향,1,3,35,-25,10,2260,2390,130,2270,2400,2335,17,2240,2380,2310,110,110,LEFT,175.5,175.5,OK,UNIT_17:LEFT:110.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 2호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,2,M,정방향,1,3,35,-25,10,2260,2390,130,2270,2400,2335,18,2380,2520,2450,65.5,65.5,RIGHT,175.5,175.5,OK,UNIT_18:RIGHT:65.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 2호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,2,M,정방향,2,3,35,-25,10,2910,3040,130,2920,3050,2985,21,2800,2940,2870,65.5,65.5,LEFT,175.5,175.5,OK,UNIT_21:LEFT:65.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 2호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,2,M,정방향,2,3,35,-25,10,2910,3040,130,2920,3050,2985,22,2940,3080,3010,110,110,RIGHT,175.5,175.5,OK,UNIT_22:RIGHT:110.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 2호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,2,M,정방향,3,3,35,-25,10,3560,3690,130,3570,3700,3635,26,3500,3640,3570,92.75,92.75,LEFT,175.5,175.5,OK,UNIT_26:LEFT:92.8mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 2호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
GTX-A,2,M,정방향,3,3,35,-25,10,3560,3690,130,3570,3700,3635,27,3640,3780,3710,82.75,82.75,RIGHT,175.5,175.5,OK,UNIT_27:RIGHT:82.8mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 2호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
GTX-A,3,T,정방향,1,3,35,-25,10,4260,4390,130,4270,4400,4335,31,4200,4340,4270,92.75,92.75,LEFT,175.5,175.5,OK,UNIT_31:LEFT:92.8mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 3호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
GTX-A,3,T,정방향,1,3,35,-25,10,4260,4390,130,4270,4400,4335,32,4340,4480,4410,82.75,82.75,RIGHT,175.5,175.5,OK,UNIT_32:RIGHT:82.8mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 3호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
GTX-A,3,T,정방향,2,3,35,-25,10,4910,5040,130,4920,5050,4985,36,4900,5040,4970,120,120,LEFT,175.5,175.5,OK,UNIT_36:LEFT:120.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 3호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,3,T,정방향,2,3,35,-25,10,4910,5040,130,4920,5050,4985,37,5040,5180,5110,55.5,55.5,RIGHT,175.5,175.5,OK,UNIT_37:RIGHT:55.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 3호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,3,T,정방향,3,3,35,-25,10,5560,5690,130,5570,5700,5635,40,5460,5600,5530,75.5,75.5,LEFT,175.5,175.5,OK,UNIT_40:LEFT:75.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 3호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,3,T,정방향,3,3,35,-25,10,5560,5690,130,5570,5700,5635,41,5600,5740,5670,100,100,RIGHT,175.5,175.5,OK,UNIT_41:RIGHT:100.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 3호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,4,M,정방향,1,3,35,-25,10,6260,6390,130,6270,6400,6335,45,6160,6300,6230,75.5,75.5,LEFT,175.5,175.5,OK,UNIT_45:LEFT:75.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 4호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,4,M,정방향,1,3,35,-25,10,6260,6390,130,6270,6400,6335,46,6300,6440,6370,100,100,RIGHT,175.5,175.5,OK,UNIT_46:RIGHT:100.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 4호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,4,M,정방향,2,3,35,-25,10,6910,7040,130,6920,7050,6985,50,6860,7000,6930,80,80,LEFT,175.5,175.5,OK,UNIT_50:LEFT:80.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 4호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,4,M,정방향,2,3,35,-25,10,6910,7040,130,6920,7050,6985,51,7000,7140,7070,95.5,95.5,RIGHT,175.5,175.5,OK,UNIT_51:RIGHT:95.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 4호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,4,M,정방향,3,3,35,-25,10,7560,7690,130,7570,7700,7635,55,7560,7700,7630,130,130,LEFT,175.5,175.5,OK,UNIT_55:LEFT:130.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 4호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,4,M,정방향,3,3,35,-25,10,7560,7690,130,7570,7700,7635,56,7700,7840,7770,45.5,45.5,RIGHT,175.5,175.5,OK,UNIT_56:RIGHT:45.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 4호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,5,M,정방향,1,3,35,-25,10,8260,8390,130,8270,8400,8335,60,8260,8400,8330,130,130,LEFT,175.5,175.5,OK,UNIT_60:LEFT:130.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 5호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,5,M,정방향,1,3,35,-25,10,8260,8390,130,8270,8400,8335,61,8400,8540,8470,45.5,45.5,RIGHT,175.5,175.5,OK,UNIT_61:RIGHT:45.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 5호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,5,M,정방향,2,3,35,-25,10,8910,9040,130,8920,9050,8985,64,8820,8960,8890,85.5,85.5,LEFT,175.5,175.5,OK,UNIT_64:LEFT:85.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 5호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,5,M,정방향,2,3,35,-25,10,8910,9040,130,8920,9050,8985,65,8960,9100,9030,90,90,RIGHT,175.5,175.5,OK,UNIT_65:RIGHT:90.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 5호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,5,M,정방향,3,3,35,-25,10,9560,9690,130,9570,9700,9635,69,9520,9660,9590,90,90,LEFT,175.5,175.5,OK,UNIT_69:LEFT:90.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 5호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,5,M,정방향,3,3,35,-25,10,9560,9690,130,9570,9700,9635,70,9660,9800,9730,85.5,85.5,RIGHT,175.5,175.5,OK,UNIT_70:RIGHT:85.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 5호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,6,T,정방향,1,3,35,-25,10,10260,10390,130,10270,10400,10335,74,10220,10360,10290,90,90,LEFT,175.5,175.5,OK,UNIT_74:LEFT:90.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 6호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,6,T,정방향,1,3,35,-25,10,10260,10390,130,10270,10400,10335,75,10360,10500,10430,85.5,85.5,RIGHT,175.5,175.5,OK,UNIT_75:RIGHT:85.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 6호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,6,T,정방향,2,3,35,-25,10,10910,11040,130,10920,11050,10985,78,10780,10920,10850,45.5,45.5,LEFT,175.5,175.5,OK,UNIT_78:LEFT:45.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 6호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,6,T,정방향,2,3,35,-25,10,10910,11040,130,10920,11050,10985,79,10920,11060,10990,130,130,RIGHT,175.5,175.5,OK,UNIT_79:RIGHT:130.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 6호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,6,T,정방향,3,3,35,-25,10,11560,11690,130,11570,11700,11635,83,11480,11620,11550,95.5,95.5,LEFT,175.5,175.5,OK,UNIT_83:LEFT:95.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 6호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,6,T,정방향,3,3,35,-25,10,11560,11690,130,11570,11700,11635,84,11620,11760,11690,80,80,RIGHT,175.5,175.5,OK,UNIT_84:RIGHT:80.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 6호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,7,M,정방향,1,3,35,-25,10,12260,12390,130,12270,12400,12335,88,12180,12320,12250,95.5,95.5,LEFT,175.5,175.5,OK,UNIT_88:LEFT:95.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 7호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,7,M,정방향,1,3,35,-25,10,12260,12390,130,12270,12400,12335,89,12320,12460,12390,80,80,RIGHT,175.5,175.5,OK,UNIT_89:RIGHT:80.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 7호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,7,M,정방향,2,3,35,-25,10,12910,13040,130,12920,13050,12985,93,12880,13020,12950,100,100,LEFT,175.5,175.5,OK,UNIT_93:LEFT:100.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 7호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
